Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
LINDEN AGRI-CENTRE LTD.,NDM456424,,L220,0011940252,,Outbound Delivery Shipped,ZT54,2/4/13,9:09:15 AM,IN TRANSIT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LAWRENCE TRANSPORTATION SYSTEMS, IN",NDM444115,,SV185,0011964158,,Delivered to Destination,ZT56,2/19/13,1:20:17 PM,WAYNESBORO,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Retail
"BEAVER MACHINE, INC.",NBM426353,,SR150 NA,0011508659,,Delivered to Destination,ZT56,4/12/13,10:56:25 AM,COLEMAN,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"MC CONNELL MACHINERY CO., INC.",NBM431423,,SR220 NA,0011507425,,Delivered to Destination,ZT56,3/26/13,4:15:19 PM,OTTAWA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"MILWAUKEE TRACTOR & EQUIPMENT, INC.",NDM456435,,L220,0011938174,,Delivered to Destination,ZT56,3/6/14,2:29:08 PM,MILWAUKEE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
ROSEBUD TRACTOR & EQUIPMENT COMPANY,NDM452807,,L223,0011938176,,Delivered to Destination,ZT56,3/21/13,2:06:49 PM,ROSEBUD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
KOBELCO CONSTRUCTION MACHINERY CO L,NDM454608,,SR200-NA,0011938177,,Export Vessel Sailed,ZT72,2/22/13,9:53:21 AM,IN TRANSIT,PHILPPN CS,WI01,WI01,PHILIPPINES CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
KOBELCO CONSTRUCTION MACHINERY CO L,NDM454609,,SR200-NA,0011938178,,Export Vessel Sailed,ZT72,2/22/13,9:53:21 AM,IN TRANSIT,PHILPPN CS,WI01,WI01,PHILIPPINES CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"RITCHIE IMPLEMENT, INC.",NCM454536,,SR200,0011932492,,Delivered to Destination,ZT56,2/2/13,9:19:28 AM,COBB,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"WINDRIDGE IMPLEMENTS, L.L.C.",NDM454579,,SR200,0011951839,,Delivered to Destination,ZT56,2/4/13,4:11:51 PM,DECORAH,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
SIGDOTEK S.A.,NDM448814,,L218-NA,0011936982,,Export Vessel Sailed,ZT72,2/13/13,10:41:20 AM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
SIGDOTEK S.A.,NDM448815,,L218-NA,0011936986,,Export Vessel Sailed,ZT72,2/13/13,10:41:07 AM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
