Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,Char. 4,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
CNH INDUSTRIAL (RUSSIA) COMMERCIAL,NCM439798,,L215-NA,0011803070,,Logistics Hold,ZT28,3/17/14,6:39:37 AM,WICHITA,RUSSIA NHL,WI01,WI01,RUSSIA NH AGCE LOC,10x16.5 Heavy Duty (59 OTW),,,KA Order
"KTK Greeley Farm Implement, Inc.",NDM452969,,L223,0011979501,,Delivered to Destination,ZT56,1/31/14,10:23:04 AM,Greeley,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
MAQUINARIA Y EQUIPOS S.A.,NCM461370,,SR175NA CASE,0011916747,,Export Vessel Sailed,ZT72,3/24/14,10:56:54 AM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIA Y EQUIPOS S.A.,NCM461376,,SR175NA CASE,0011916748,,Export Vessel Sailed,ZT72,3/24/14,10:56:38 AM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"FARMERS' SUPPLY COMPANY, INC.",NBM441235,,L213,0011629668,,Delivered to Destination,ZT56,1/16/14,11:18:47 AM,LAWRENCEBURG,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"DIXIE FARM SALES, INC.",NBM439475,,L215,0011633606,,Delivered to Destination,ZT56,3/25/14,11:17:55 AM,KINGS MOUNTAIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (59 OTW),,,Retail
CNH Industrial Belgium NV,NBM437279,,L220-EU,0011641206,,Export Vessel Sailed,ZT72,3/7/14,12:46:49 PM,IN TRANSIT,UK NH,WI01,WI01,UK NH AGCE,12x16.5 Premium (70 OTW),,,Dealer Inventory
"ROVENDALE AG & BARN EQUIPMENT, INC.",NBM441288,,L213,0011631416,,Delivered to Destination,ZT56,2/25/14,1:18:25 PM,WATSONTOWN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
SPRINGER'S INC.,NBM441304,,L213,0011650129,,Delivered to Destination,ZT56,3/21/14,2:17:16 PM,SAINT JOHNSVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
Titan Machinery Inc.,NBM434829,,L223,0011648039,,Delivered to Destination,ZT56,1/10/14,2:18:47 PM,Mandan,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NBM438263,,L218,0011671210,,Delivered to Destination,ZT56,1/15/14,5:19:56 PM,RED DEER COUNTY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium-Liner (64 OTW),,,Retail
"BEAVER MACHINE, INC.",NBM430679,,SR200,0011672839,,Delivered to Destination,ZT56,2/24/14,2:25:22 PM,COLEMAN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
BRIDGEPORT EQUIPMENT CO.,NBM424947,,SR130,0011689858,,Delivered to Destination,ZT56,3/20/14,6:37:02 PM,BRIDGEPORT,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"LAMB & WEBSTER, INC.",NBM441338,,L213,0011698430,,Delivered to Destination,ZT56,2/17/14,1:19:05 PM,SPRINGVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"LAMB & WEBSTER, INC.",NBM444382,,SV250,0011694568,,Delivered to Destination,ZT56,1/27/14,2:18:40 PM,SPRINGVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
HYLAND MOTOR COMPANY,NBM439563,,L215,0011697683,,Delivered to Destination,ZT56,1/17/14,11:19:51 AM,SPRING VALLEY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"OTTER SALES & SERVICE, INC.",NCM452202,,L223,0011743048,,Delivered to Destination,ZT56,2/25/14,2:51:39 PM,BURLINGTON,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
J. RENE LAFOND INC.,NCM446330,,L225,0011734410,,Delivered to Destination,ZT56,3/21/14,1:17:57 PM,MIRABEL,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MECHANICSBURG IMPLEMENT INC.,NCM458738,,L213,0011783946,,Delivered to Destination,ZT56,2/18/14,3:19:25 PM,MECHANICSBURG,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"VALLEY IMPLEMENT & MOTOR CO., INC.",NCM452370,,L223,0011785594,,Delivered to Destination,ZT56,1/7/14,3:18:59 PM,PRESTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
